Date,Branch Name,# of drop,# of partial,Yesterday paid off #,Today disbursed #,# of irregular borrower,Virtual new borrower,Returning
12/9/2021,CA Area,195,249,149,186,149,197,116
12/9/2021,Austin,16,8,19,34,30,22,12
12/9/2021,Houston,32,36,50,40,5,20,29
12/9/2021,San Antonio,36,9,23,30,21,37,49
12/9/2021,Texas Area,338,379,264,345,256,335,221
12/9/2021,Harlem-,20,10,42,13,40,18,7
12/9/2021,BAI- Newark,10,42,25,7,21,27,43
12/9/2021,Memphis,22,26,7,42,46,5,29
12/9/2021,Elevate Area,458,502,411,477,389,442,378
12/9/2021,Grand Total-,1663,1917,1482,1649,1382,1667,1475
12/8/2021,Jackson Heights,36,45,49,18,13,39,46
12/8/2021,Gates Avenue,44,28,8,23,44,48,48
12/8/2021,Manhattan,28,30,10,35,45,45,20
12/8/2021,Bronx,39,6,39,34,15,23,45
12/8/2021,Jamaica-LIC,22,46,16,47,7,42,40
12/8/2021,Sunset Park,42,45,43,32,18,38,23
12/8/2021,New York Area,211,200,165,189,142,235,222
12/8/2021,Union City,35,34,36,22,49,34,37
12/8/2021,Newark-,16,11,42,23,49,25,14
12/8/2021,Chelsea-Boston,32,36,30,22,29,16,9
12/8/2021,Chicago,22,30,21,21,49,25,44
12/8/2021,Trenton/Camden,43,10,5,18,8,41,17
12/8/2021,Connecticut,37,27,37,12,41,23,40
12/8/2021,NE Area,185,148,171,118,225,164,161
12/8/2021,Omaha,24,14,17,45,20,45,27
12/8/2021,Indianapolis,46,10,9,42,30,23,42
12/8/2021,Charlotte,22,10,6,22,17,47,25
12/8/2021,Miami,10,20,8,26,25,38,16
12/8/2021,C&SE Area,324,229,248,265,358,340,311
12/8/2021,Oakland,39,15,41,42,14,32,40
12/8/2021,Boyle Heights,14,10,5,38,30,37,40
12/8/2021,Pico Union,6,37,11,30,22,22,42
12/8/2021,San Jose,11,46,13,38,11,40,45
12/8/2021,Long Beach,40,35,8,40,12,27,6
12/8/2021,Fresno,48,26,47,49,34,19,32
12/8/2021,CA Area,158,169,125,237,123,177,205
12/8/2021,Austin,38,35,18,25,24,13,43
12/8/2021,Houston,19,28,46,36,25,25,13
12/8/2021,San Antonio,10,43,23,36,24,43,22
12/8/2021,Texas Area,313,336,267,423,242,304,321
12/8/2021,Harlem-,26,27,46,45,22,29,15
12/8/2021,BAI- Newark,34,13,34,33,35,45,43
12/8/2021,Memphis,32,37,36,28,47,22,21
12/8/2021,Elevate Area,434,484,452,601,395,468,435
12/8/2021,Grand Total-,1625,1566,1428,1833,1485,1688,1655
12/7/2021,Jackson Heights,40,8,37,34,30,32,46
12/7/2021,Gates Avenue,19,7,15,7,34,31,19
12/7/2021,Manhattan,5,27,22,38,49,15,42
12/7/2021,Bronx,46,45,40,50,20,40,30
12/7/2021,Jamaica-LIC,30,34,10,28,43,35,47
12/7/2021,Sunset Park,50,10,17,7,17,25,23
12/7/2021,New York Area,190,131,141,164,193,178,207
12/7/2021,Union City,25,17,15,39,42,21,38
12/7/2021,Newark-,26,7,19,27,44,34,39
12/7/2021,Chelsea-Boston,5,10,5,22,10,34,43
12/7/2021,Chicago,40,10,37,10,23,17,29
12/7/2021,Trenton/Camden,41,32,14,22,28,46,15
12/7/2021,Connecticut,26,19,37,24,49,41,7
12/7/2021,NE Area,163,95,127,144,196,193,171
12/7/2021,Omaha,30,50,42,11,22,20,22
12/7/2021,Indianapolis,23,37,8,32,17,10,32
12/7/2021,Charlotte,32,32,35,50,48,36,42
12/7/2021,Miami,23,8,13,38,9,7,28
12/7/2021,C&SE Area,297,241,262,299,341,307,302
12/7/2021,Oakland,11,9,30,30,10,15,7
12/7/2021,Boyle Heights,19,37,37,6,20,46,33
12/7/2021,Pico Union,42,16,24,38,37,34,49
12/7/2021,San Jose,6,28,26,49,20,6,19
12/7/2021,Long Beach,7,36,16,6,18,49,6
12/7/2021,Fresno,11,38,46,20,22,27,42
12/7/2021,CA Area,96,164,179,149,127,177,156
12/7/2021,Austin,36,36,14,28,24,44,26
12/7/2021,Houston,49,23,42,48,19,47,36
12/7/2021,San Antonio,15,49,15,42,17,43,35
12/7/2021,Texas Area,214,346,312,293,227,387,301
12/7/2021,Harlem-,46,20,37,18,50,10,17
12/7/2021,BAI- Newark,5,21,49,46,46,6,30
12/7/2021,Memphis,33,24,30,19,40,22,19
12/7/2021,Elevate Area,362,483,485,466,399,515,438
12/7/2021,Grand Total-,1322,1460,1506,1515,1483,1757,1575
12/6/2021,Jackson Heights,49,16,30,30,7,7,41
12/6/2021,Gates Avenue,50,7,50,20,40,35,20
12/6/2021,Manhattan,6,23,40,42,15,19,40
12/6/2021,Bronx,22,17,13,32,22,46,28
12/6/2021,Jamaica-LIC,5,42,13,7,22,28,49
12/6/2021,Sunset Park,10,26,32,38,6,28,46
12/6/2021,New York Area,142,131,178,169,112,163,224
12/6/2021,Union City,48,15,16,19,24,32,11
12/6/2021,Newark-,10,16,14,40,34,42,10
12/6/2021,Chelsea-Boston,41,8,42,23,28,18,39
12/6/2021,Chicago,42,34,18,40,23,43,18
12/6/2021,Trenton/Camden,23,38,47,38,44,46,41
12/6/2021,Connecticut,9,29,17,5,46,30,15
12/6/2021,NE Area,173,140,154,165,199,211,134
12/6/2021,Omaha,40,12,17,32,35,6,30
12/6/2021,Indianapolis,30,17,22,12,30,39,21
12/6/2021,Charlotte,7,38,50,45,49,5,48
12/6/2021,Miami,48,11,20,50,17,45,13
12/6/2021,C&SE Area,307,247,280,309,376,336,261
12/6/2021,Oakland,32,20,7,36,47,30,6
12/6/2021,Boyle Heights,38,10,14,22,26,43,16
12/6/2021,Pico Union,31,43,10,11,10,42,27
12/6/2021,San Jose,38,20,37,23,27,7,7
12/6/2021,Long Beach,12,6,16,32,41,22,33
12/6/2021,Fresno,20,14,17,18,15,39,18
12/6/2021,CA Area,171,113,101,142,166,183,107
12/6/2021,Austin,21,42,22,23,8,22,21
12/6/2021,Houston,18,43,42,38,7,24,46
12/6/2021,San Antonio,19,30,7,15,32,49,35
12/6/2021,Texas Area,261,248,205,268,269,339,260
12/6/2021,Harlem-,35,30,15,37,29,11,37
12/6/2021,BAI- Newark,18,26,22,28,35,43,37
12/6/2021,Memphis,18,7,10,24,13,25,23
12/6/2021,Elevate Area,369,384,301,410,385,491,438
12/6/2021,Grand Total-,1423,1263,1219,1463,1507,1723,1424
